Guid,Title,OtherTitle,Color,ReleaseYear,Duration,Mode,Comment,Published,CreatedOn,CreatedBy,UpdatedOn,UpdatedBy
3afc7a56-0669-4fe1-8d81-4078df0d9695,Dragon Ball - Doragon bôru: Majinjô no nemuri hime,Dragon Ball: Sleeping Princess in Devil's Castle,C,1987,45,A,,True,,,,
3afcdccb-05d9-4d42-9ce5-9afaf7bb12fd,Pinokyo en Little Snow White,,C,1972,,L,,True,,,,
3b0a20b0-687f-4103-b096-01eed4a067af,Snow White: The Fairest of Them All,"Snow White, Snow White and the Seven Bachelors, Snow White and the 7 Bachelors, Snow White and the Seven Old Bachelors",C,2001,93,L,TV movie,True,,,,
3b25bdb4-7092-4ff5-94e0-7e3424dd97dd,The Talking Eggs,,C,1993,,A,"From Jack Zipes' donation, box 6",True,,,,
3b35c78d-82c9-4a85-967f-a726485c7341,Faeries,,C,1999,77,A,"Jack:
Missing: Tale Title and Author (is this based on something?)
Queries: 1) 2005 release date listed in filmography doc does not correspond to IMDB listing (1999). Please confirm correct date. 2) Run time in doc (77 min) does not correspond to IMDB (90 min). Please confirm.",True,,,,
3b39c0ef-2258-4b86-804f-679b51ea56af,Karshen Makirci,End of the Mischief,C,1999,,L,https://en.wikipedia.org/wiki/Ado_Ahmad_Gidan_Dabino,True,,,,
3b4af7dc-7931-4e18-920a-865b91b23b09,Pan Kotsky,"Scary Beast, A Terrible Beast, Пан Коцький, Страшний звір",C,1969,,A,"Based on the Ukrainian folk tale ""Pan Kotsky"" (Mister Cat)
Duration unknown",True,,,,
3b669c29-88f1-4c76-a9df-af9ebcc631bb,The Gruffalo,,C,2009,27,A,,True,,,,
3b6a5728-ae08-43d4-a11f-d675e9d2ffe4,Die zertanzten Schuhe,,C,1977,44,L,,True,,,,
3b710c27-6094-4c48-b901-b02f71abbf35,Jersey Girl,,C,2004,102,L,,True,,,,
3b76c070-140f-46c1-8c1d-a7b4ca9e19ed,Pigs in a Polka,Merrie Melodies,C,1943,8,A,Parody of Three Little Pigs (1933) and Fantasia (1940),True,,,,
3b8ba688-4a02-44f4-9314-560597fda030,Sleeping Beauty,,C,2019,3,L,,True,,,,
3b8bafa8-78ac-4735-8365-e3e8d29eeab7,Ivan da Mariya,Iwan und Marja; Ivan and Marya,C,1976,88,L,I'm not sure of the origin.,True,,,,
3ba1fe20-03cf-444f-8f2a-406f3d7f0eb7,Bluebeard,,BW,1944,72,L,,True,,,,
3ba72685-2d58-40e7-bd2a-041897087e85,Chelovek v ramke,"The Man in the Frame, Man in the Frame",C,1966,10,A,"I'm not sure of the origin.
https://www.youtube.com/watch?v=IqKW4jA5ZZY",True,,,,
3bb0dd24-8454-4041-9a87-2e0291015b41,Kon Aeuy Madai Ahp,"My Mother is Arb; Child, Witch, Mother",C,1980,,L,Cambodian myth about a malevolent spirit called Ap or Arp,True,,,,
3bb75169-d22d-421c-99d6-c19aa1d81302,Miss Congeniality,,C,2000,109,L,Sue Short's fairy tale films book,True,,,,
3bb83585-5353-4ba7-b01e-4757f58e5ef4,Grantræet,The Fir Tree,C,2011,26,L,https://letterboxd.com/film/the-fir-tree/,True,,,,
3bbcb359-7531-4c65-88a7-52a4ebb26fdf,Das Schicksal einer schönen Frau,Madame Bluebeard,BW,1931,70,L,,True,,,,
3bc06681-4513-440e-9f45-ed90f40f07cc,Sinbad: Legend of the Seven Seas,,C,2003,86,A,,True,,,,
3bc4313f-04bd-44cb-b120-3af75f5203b5,Nihon mukashi-banashi: Sarukani,The Monkey and the Crab: A Japanese Tale,C,1972,19,A,https://www.filmaffinity.com/au/film342064.html,True,,,,
3bd51fe0-e1c6-434e-b538-87a5b7bb25a5,The Last Petal,Stories from My Childhood,C,1998,22,A,,True,,,,
3bdce19c-1fa2-4a0d-b3d2-6eb2f0dc9fb4,Trolljegeren,Trollhunter,C,2010,103,L,I'm not sure of the origin.,True,,,,
3bea3d95-1789-4d9f-8d5a-13865666d5b7,Чужой голос,"Chuzhoy golos, Stranger's Voice",C,1949,10,A,http://publications.tlu.ee/index.php/bsmr/article/viewFile/537/pdf,True,,,,
3bee6e82-21e7-48f4-9ae0-af116d5156af,Goldilocks and the Three Bears/Rumpelstiltskin/Little Red Riding Hood/Sleeping Beauty,,C,1984,30,A,,True,,,,
3bfe6775-741f-4ae2-a1d2-85cfcd4edbb2,DysEnchanted,,C,2004,8,L,,True,,,,
3c0ee289-6e1a-4b80-a218-da5c6add00d5,Babochka,Butterfly,C,1972,10,A,,True,,,,
3c1d1ab6-1c06-475a-9eaa-e08901d75609,Kejserens nye klæder,,BW,1949,30,U,,True,,,,
3c22cbee-1ff7-459d-9583-a933a9e74a9c,Ponedelnik nachinaetsya v subbotu. Sueta vokrug divana,Понедельник начинается в субботу. Суета вокруг дивана,C,2017,3,L,"Fragment of Arkadiy Strugatskiy's and Boris Strugatskiy's novel ""Monday Begins on Saturday"".",True,,,,
3c27d6ea-3163-482b-a648-83e6db1d934b,A Wolf in Cheap Clothing,,BW,1936,7,A,Is there an origin for this tale?,True,,,,
3c2fd4df-1202-4de4-a878-046f7293603f,Tri bogatyrya i Morskoy tsar,"Three Heroes and the King of the Sea, Three Knights and the King of the Sea",C,2017,75,A,,True,,,,
3c3659ee-67bd-4b76-8602-626dbd98d8c6,Blood Red,,C,2018,3,L,,True,,,,
3c390c42-0783-44b0-a2bb-8beec091111d,Z pekla štěstí 2,"Helluva Good Luck 2, Goblins and Good Luck 2",C,2001,102,L,,True,,,,
3c4563a0-af24-474f-9c0e-511c97ec970b,Ever After High: Epic Winter,,C,2016,90,A,,True,,,,
3c478788-ae88-48d2-9ed5-da47f0cd5dbd,Čarobni gumb,"Magical Button, Raganas poga, The Witch's Button",C,2006,2,A,"From Jack Zipes' donation, box 5
https://vimeo.com/11381670
http://www.rijafilms.lv/2010/the-witch%e2%80%99s-button/",True,,,,
3c4a84db-fba1-49b7-82cd-e6d72e161914,Beauty and the Beast,Faerie Tale Theatre,C,1984,52,L,,True,,,,
3c5e3927-3515-41f7-8423-7bfebec799fc,Valerie a týden divů,Valerie and Her Week of Wonders,C,1970,73,L,I'm not sure of the origin.,True,,,,
3c64318c-b34f-4667-b464-155e88046d67,Winx Club: Il mistero degli abissi,,C,2014,83,A,,True,,,,
3c7cd148-c8aa-4efb-b27b-c6f7b9aa3d69,Big Bad Wolves,,C,2013,110,L,,True,,,,
