Guid,Title,Code,Author,CreatedOn,CreatedBy,UpdatedOn,UpdatedBy
6be330e2-94ce-48b5-a8e0-251e5589d368,King Lindorm,433B,null,,,,
6c9d5de9-9355-4f52-b514-a0f51190e8dd,Ruslan i Lyudmila,null,Alexander Pushkin,,,,
6dfe60b2-0c2f-4cea-8dc3-c5bad5f607ff,Shimcheongjeon,null,null,,,,
6f81d2df-43cc-4f7a-bd5a-3919376ea369,null,null,Walt Disney,,,,
704e4a38-4436-48c6-9f69-a065db7ee63b,The BFG,null,Roald Dahl,,,,
7159550d-45f7-4441-931a-cac0da8393f4,Shrek!,null,William Steig,,,,
7168e748-33ec-4379-99ff-de14a2c3f1bd,Momo,null,Michael Ende,,,,
71c3836d-c92c-4a50-ab85-87c986635583,Cinderella,510A,null,,,,
728ba25f-56f0-49c7-aad3-cee18e334c2b,The Animal Bride,402,null,,,,
72fdd8c1-9488-45c3-b5bb-5d37f22bc486,Bargain of the Three Brothers with the Devil,360,null,,,,
733247f4-a20b-40c6-88fe-c1e366ff1808,Hiding from the Princess,329,null,,,,
73b2877a-1ea6-4dd5-9201-eb1207d23735,Beloved of Women,580,null,,,,
746c03be-8c97-4d20-b701-48053f22b303,Born from Fruit (Fish),705A,null,,,,
747d634d-f346-49cd-aa18-fe7a62198c7c,The Tinder Box,null,Hans Christian Andersen,,,,
74b28bc9-f42c-4f6b-aedc-07a3bd1b5507,The Erl-King,null,Johann Wolfgang von Goethe,,,,
753548b1-280d-4006-812e-8fa6f3b33b83,Nejkrásnejsí hádanka,null,Jan Drda,,,,
7555e5d4-c7b4-4157-8b86-1aa39e5a742b,"Obušku, z pytle ven!",null,Karel Jaromír Erben,,,,
75e846c2-ff39-4f26-9a39-0d24add5fd97,Ella Enchanted,null,Gail Carson Levine,,,,
761fb4ca-ad1b-47f0-add5-1c3282ac65e9,Krabat,null,Otfried Preußler,,,,
76be05be-66b6-4546-95a8-30469f76b61e,The Boy Who Had Never Seen a Woman,1678,null,,,,
76d27797-08ed-44a0-8727-6aced26b594b,The Hobbit,null,J. R. R. Tolkien,,,,
76db904e-b736-4565-91ce-cb3e7e3cdd94,The Juniper Tree,720,null,,,,
77a7ab70-263d-47d9-8580-5b72f11976f8,Kismet,null,Edward Knoblock,,,,
