FilmGuid,CountryGuid
042cda62-0f09-40fc-be77-51e38a828096,71eb741f-7b0b-4741-8b71-0835756a5a29
042db3ef-d289-45ae-b366-0acb0f87d4a3,45c778c3-9ce0-435d-8875-651f68f34f7f
042db3ef-d289-45ae-b366-0acb0f87d4a3,7b2c792f-e311-4c9d-b0e2-71ae7a090233
0430816d-80bb-432b-9673-3d92606a547c,e3ac0e2d-c468-489d-829e-d277bca57bfd
0441c548-bfe9-4638-8d52-2f828208e973,bd238c01-9393-400a-b2ce-34cec2576594
0443b565-4451-4d62-b4be-f05ab3285e09,7548d5fd-eb2b-486d-9d1a-2f893d20efb1
044b1bb7-b564-4046-a27f-bfbd641b4189,bd238c01-9393-400a-b2ce-34cec2576594
04594c20-0a87-4a75-9d64-c1aa0945a4a3,bd238c01-9393-400a-b2ce-34cec2576594
045d5c68-244d-4d1c-90d5-74647ef2f4b8,bd238c01-9393-400a-b2ce-34cec2576594
0462fbe0-783a-44a9-b397-1143920eb392,61bf7aa7-3fe0-452f-a21b-4c14a6c671d4
0462fbe0-783a-44a9-b397-1143920eb392,71eb741f-7b0b-4741-8b71-0835756a5a29
0462fbe0-783a-44a9-b397-1143920eb392,a3dd26b7-6955-46c8-846c-ef76047af098
0462fbe0-783a-44a9-b397-1143920eb392,c1045df3-f259-4860-92ed-73d40a7227b5
0462fbe0-783a-44a9-b397-1143920eb392,e73aefd5-67e7-485d-bdf8-405944b16da1
0462fbe0-783a-44a9-b397-1143920eb392,f26e43a1-7a5a-4151-b373-6ed10ed5476b
0462fbe0-783a-44a9-b397-1143920eb392,ffab6e8c-4dd4-4bcc-ad22-bc46d5c14080
0465ba20-0cc4-4b81-a2de-3fbbd987da16,bd238c01-9393-400a-b2ce-34cec2576594
04755e74-5224-4a8c-b452-f5633c3c98a2,fe426648-2c0f-4e81-883f-99533343cd79
0495aaff-a6a8-421a-bf7c-66eaed55d13b,bd238c01-9393-400a-b2ce-34cec2576594
04a8b787-2a34-4820-b546-5d210ae748f7,fca9eaa8-a10c-4230-819a-fa56446044ea
04cbb42e-41ef-4b67-81db-6c83b4b8645a,71eb741f-7b0b-4741-8b71-0835756a5a29
04d3de83-213f-4634-9a27-3dffc6f6e3b9,bd238c01-9393-400a-b2ce-34cec2576594
04d76d89-345a-4efc-aa24-8ec029f1d5d3,a3dd26b7-6955-46c8-846c-ef76047af098
04e27db3-00f8-414c-acbd-899b2fdf6bed,87a1731b-8ea1-447f-98e4-656581f8d0a9
04f10e66-3dc7-4c08-9ef3-e95fe71f0e49,ffab6e8c-4dd4-4bcc-ad22-bc46d5c14080
04fd4267-a525-4c22-b195-d85b92b45e2f,71eb741f-7b0b-4741-8b71-0835756a5a29
051b015e-30d0-4fc3-b390-355aef33ec83,10e1a5c8-8620-49e2-9b14-5e08477952f8
051f5989-923e-40a1-873b-01bbcc2cf6d5,bd238c01-9393-400a-b2ce-34cec2576594
052c1c34-cae5-49c7-a8bd-9902f6c9af60,72ba9526-67b2-474f-9b83-813ea5c4f725
05442da4-4f76-4ae5-93d0-4d87cdf5e265,aee86263-6898-469a-a84e-d8cdfc511ead
0553bd04-840b-408a-92b4-1aad17228832,a3f48d3d-ec6e-47c1-aec5-322b525a24d4
0553c941-9304-442e-a521-748c5f6ef347,bd238c01-9393-400a-b2ce-34cec2576594
0556bbbc-6a2b-4b00-90ca-6b74769830da,472b46cd-7b5c-4a38-a422-7b14261083f9
055a5439-331e-45a3-9cbf-2e45ee840ffe,1cad40f1-6a3a-4e4c-8921-77a700bd5557
055cc483-1ba1-41ca-ac27-61c0b448c882,0772ec2d-5cc7-4db9-8aef-40250b4e0b3f
055fc931-434e-4a9e-a744-636d4e902eb8,bd238c01-9393-400a-b2ce-34cec2576594
05669239-85f1-42a8-a90f-9650f749b60c,a3dd26b7-6955-46c8-846c-ef76047af098
056b8f54-e670-4035-9421-17df84f6ff22,67bdce9a-d86f-4170-9473-5a7a9b8abff7
056b8f54-e670-4035-9421-17df84f6ff22,71eb741f-7b0b-4741-8b71-0835756a5a29
056b8f54-e670-4035-9421-17df84f6ff22,80d68291-b3ab-41e5-812c-e4668edfadb3
05727868-6429-464d-ab0f-34ab7e64ba87,38be140e-0c4e-4032-acf0-1dffd14fdcbe
0579d7c7-75ac-4734-b227-4bfa1eb4e55f,bd238c01-9393-400a-b2ce-34cec2576594
057cb251-f7fe-4e44-a7db-c911f1168c1f,bd238c01-9393-400a-b2ce-34cec2576594
057cff3f-3bff-4e5a-93f5-06b2b5237ad5,43911a81-607b-4614-9f40-0c290e1a5edb
05836f93-3136-4e29-9d3e-a553b9409fbb,71eb741f-7b0b-4741-8b71-0835756a5a29
0585c66c-af8f-4eb9-a311-3babf3d0ee85,a3dd26b7-6955-46c8-846c-ef76047af098
