CompanyId,FilmId
448,703
54,704
451,705
454,706
143,707
303,707
455,708
296,709
457,710
67,711
458,712
459,713
461,715
462,716
463,717
194,718
394,718
440,718
2481,720
2482,720
466,721
469,722
459,724
470,725
473,726
475,728
2870,731
2871,731
478,732
481,733
482,734
483,735
484,736
478,737
127,738
485,738
486,739
440,740
103,741
487,742
30,743
488,744
489,745
490,746
491,747
492,749
493,751
496,752
197,753
290,754
320,755
320,757
424,758
800,758
424,759
800,759
424,761
800,761
497,762
142,763
498,764
499,766
501,767
503,769
504,770
401,771
343,772
389,773
505,774
343,775
84,776
506,776
2697,776
38,777
507,778
508,779
509,780
510,781
67,782
252,783
67,784
108,785
211,786
389,787
244,788
511,789
2893,789
3091,789
517,790
197,791
279,792
519,793
40,794
520,795
198,796
521,797
522,798
523,799
525,800
424,801
526,801
800,801
424,802
108,803
497,804
211,805
530,805
531,806
532,806
533,806
536,807
538,808
540,809
542,810
543,811
543,812
543,813
544,814
545,815
546,815
547,816
548,817
551,818
552,819
553,820
557,821
558,822
54,823
560,823
67,824
490,824
561,824
564,825
566,826
44,827
567,827
569,828
571,829
572,830
479,831
252,832
573,833
211,834
67,835
574,836
575,837
123,838
576,839
84,840
67,841
577,842
578,843
389,844
389,845
579,846
108,847
580,848
554,849
579,849
389,850
568,851
108,852
26,853
581,854
141,855
582,856
459,857
30,858
583,859
584,861
585,862
67,863
123,864
586,865
587,866
123,867
588,868
589,869
42,870
479,871
459,872
590,873
42,874
591,875
592,876
26,877
479,878
593,879
67,880
594,881
595,882
596,883
597,884
598,885
372,886
3814,887
3948,887
67,888
600,889
67,890
252,891
459,892
244,893
601,894
537,896
538,896
62,897
446,897
602,897
605,898
317,899
201,900
606,901
320,902
3129,903
320,904
372,905
407,906
252,907
390,908
424,909
188,910
607,911
608,912
497,913
609,914
293,916
610,917
90,920
298,921
612,922
615,923
537,924
538,924
478,925
618,926
2483,927
621,928
624,929
627,931
344,933
345,934
380,935
201,936
606,937
290,938
630,939
290,940
198,942
520,943
631,944
390,945
633,946
634,947
188,949
54,950
549,951
550,951
637,952
44,954
567,954
639,955
641,956
62,957
498,957
570,957
26,958
527,959
212,960
459,961
459,962
459,963
211,964
581,965
211,966
390,967
642,968
82,970
459,971
643,972
379,973
26,974
644,975
193,976
647,977
649,978
26,980
26,981
650,982
651,983
108,984
228,985
228,988
656,989
658,990
661,991
431,992
663,993
160,994
664,994
667,995
668,996
669,997
228,998
143,999
303,999
670,999
261,1000
673,1001
503,1002
674,1002
665,1003
666,1003
667,1003
675,1004
676,1005
677,1006
671,1007
672,1007
56,1008
678,1008
679,1009
211,1010
389,1010
680,1010
287,1011
345,1012
272,1013
344,1014
217,1015
26,1016
380,1017
630,1017
379,1018
26,1019
338,1020
252,1021
26,1022
682,1023
107,1024
683,1025
684,1026
553,1027
4191,1028
155,1031
211,1033
94,1034
125,1035
686,1036
67,1037
868,1037
2443,1037
125,1038
4232,1039
198,1040
459,1041
520,1042
320,1043
320,1044
108,1045
320,1046
108,1047
4231,1048
424,1049
188,1050
108,1051
688,1052
689,1053
691,1054
692,1055
188,1056
693,1057
436,1058
438,1059
143,1060
303,1060
696,1061
478,1062
697,1063
698,1063
699,1063
252,1064
211,1065
700,1066
459,1067
173,1068
252,1069
123,1070
108,1071
701,1072
1382,1072
356,1073
488,1074
488,1075
488,1076
488,1077
108,1078
702,1079
705,1080
708,1081
710,1082
711,1083
713,1084
388,1085
254,1086
54,1087
714,1088
199,1089
583,1089
717,1090
143,1091
303,1091
478,1093
56,1094
478,1094
492,1095
36,1096
720,1096
143,1097
303,1097
671,1098
672,1098
673,1098
721,1099
724,1100
725,1101
728,1102
143,1103
303,1103
685,1104
729,1104
730,1105
671,1106
672,1106
731,1107
63,1108
732,1109
733,1110
734,1111
735,1112
158,1115
739,1117
741,1118
742,1119
744,1120
298,1122
36,1123
745,1124
745,1125
294,1126
294,1127
746,1128
294,1129
294,1130
431,1130
294,1131
338,1132
662,1132
43,1133
294,1134
391,1135
393,1135
503,1135
391,1136
747,1136
391,1137
393,1137
393,1138
393,1139
748,1139
725,1140
749,1141
294,1142
391,1143
503,1144
750,1144
338,1145
751,1145
2451,1146
752,1147
752,1148
755,1149
143,1150
303,1150
143,1151
303,1151
143,1152
303,1152
143,1153
303,1153
143,1154
303,1154
143,1155
303,1155
143,1156
303,1156
143,1157
303,1157
143,1158
303,1158
143,1159
303,1159
143,1160
303,1160
143,1161
303,1161
431,1162
757,1163
431,1164
431,1165
431,1166
431,1167
293,1168
431,1168
431,1169
293,1170
431,1170
431,1171
758,1171
431,1172
431,1173
431,1174
756,1175
644,1176
431,1177
431,1178
760,1179
761,1180
431,1181
62,1182
431,1183
431,1184
764,1185
765,1186
431,1187
766,1188
767,1189
372,1190
372,1191
407,1192
372,1193
407,1194
768,1195
769,1196
770,1197
90,1198
461,1198
771,1198
228,1199
44,1200
302,1200
772,1202
773,1202
774,1202
775,1203
197,1204
776,1205
4310,1206
390,1207
697,1209
698,1209
699,1209
778,1210
779,1211
782,1212
431,1215
725,1215
783,1216
713,1217
784,1217
785,1218
801,1218
82,1219
785,1219
785,1220
801,1220
82,1221
785,1221
785,1222
801,1222
197,1223
343,1224
82,1226
82,1227
801,1227
787,1228
789,1229
791,1230
792,1231
272,1232
367,1233
606,1234
343,1235
793,1236
401,1237
380,1238
630,1238
385,1240
320,1241
108,1242
198,1242
108,1243
198,1243
108,1244
198,1244
123,1245
108,1246
123,1247
123,1248
123,1250
3129,1251
794,1252
795,1252
108,1253
372,1254
796,1255
108,1256
520,1257
416,1258
669,1259
416,1260
416,1261
798,1263
520,1264
521,1265
799,1267
3968,1271
279,1274
279,1275
197,1276
82,1277
785,1277
801,1278
785,1279
801,1279
801,1280
82,1281
801,1282
270,1283
279,1285
317,1286
785,1287
801,1287
802,1288
801,1290
801,1291
803,1294
804,1295
805,1296
806,1297
201,1298
354,1299
352,1301
201,1302
201,1303
67,1304
807,1305
211,1306
