FilmId,CountryId
1140,993
1140,996
1141,993
1142,993
1143,993
1144,56
1145,993
1146,55
1146,56
1147,55
1147,56
1148,55
1148,56
1149,55
1149,56
1149,74
1149,98
1149,173
1149,196
1150,225
1151,225
1152,225
1153,225
1154,225
1155,225
1156,225
1157,225
1158,225
1159,225
1160,225
1161,225
1162,996
1163,996
1164,996
1165,996
1166,996
1167,996
1168,996
1169,996
1170,996
1171,141
1171,996
1172,996
1173,996
1174,996
1175,996
1176,225
1177,996
1178,996
1179,21
1179,225
1180,996
1181,996
1182,225
1183,996
1184,996
1185,74
1185,107
1185,995
1186,996
1187,996
1188,107
1189,995
1190,995
1191,995
1192,995
1193,995
1194,995
1195,995
1196,991
1197,225
1198,13
1198,42
1198,110
1198,995
1199,225
1200,110
1200,225
1201,74
1201,107
1202,225
1203,76
1203,107
1204,74
1205,225
1206,56
1207,76
1208,225
1209,14
1210,992
1211,225
1212,74
1213,225
1214,225
1215,996
1216,225
1217,225
1218,74
1219,74
1220,74
1221,74
1222,74
1223,74
1224,76
1226,74
1227,74
1228,100
1229,56
1230,225
1231,76
1232,225
1233,225
1234,225
1235,76
1236,993
1237,225
1238,225
1239,74
1240,225
1241,225
1242,225
1243,225
1244,225
1245,225
1246,225
1247,225
1248,225
1250,225
1251,225
1252,74
1253,225
1254,995
1255,995
1256,225
1257,225
1258,151
1259,225
1260,151
1261,151
1262,225
1263,225
1264,225
1265,225
1266,21
1267,991
1271,995
1274,74
1275,74
1276,74
1277,74
1278,74
1279,74
1280,74
1281,74
1282,74
1283,74
1285,74
1286,225
1287,74
1288,56
1290,74
1291,74
1294,56
1295,225
1296,56
1298,225
1299,225
1301,225
1302,225
1303,225
1304,225
1305,225
1306,225
1307,225
1308,225
1309,225
1310,225
1311,225
