LanguageId,Guid,Code,Name
157,b249258a-dd6b-42c9-9b77-6b967655f43c,null,Swiss German
158,e01b1c0e-ca49-4e2f-9b2e-b10bf38e40cb,null,Min Nan
159,e757cb26-1f23-471d-b95c-60bb3a10c473,null,Flemish
160,f1bb1f95-bc3c-444f-91a6-8d73b6722396,null,Gallegan
161,994af154-e01c-4dee-a3a7-b3eb6d741e16,null,Middle English
162,674a2494-698a-4727-bbd0-16225d8cfcf5,null,Old English
163,2e035bd0-4378-420d-b933-2dfee856b8f0,null,Khmer
165,1226b829-1d86-43ab-899f-19eb1e1d8122,null,Shanghainese
166,dcd26af7-a25a-4ee7-9cd5-11cfd3906fa0,null,Irish Gaelic
167,c46e0f34-c84d-4eaa-ab22-d1adf50bde59,null,Cree
