FilmID,PersonID,RoleID
112,604,54
112,605,55
112,606,55
112,607,58
112,608,54
112,609,57
113,602,52
113,602,56
113,610,58
113,611,55
113,612,55
113,613,55
113,25291,54
114,602,52
114,602,56
114,610,58
114,613,55
114,614,55
115,615,52
115,616,56
115,617,57
115,618,58
115,619,54
115,620,55
116,621,52
116,621,56
116,623,57
116,624,58
116,625,54
116,626,55
116,627,55
117,628,52
117,629,56
117,630,58
117,631,57
117,632,54
117,633,54
117,634,55
117,635,55
117,636,55
119,644,52
119,645,56
119,646,57
119,647,58
119,648,54
119,649,54
119,650,54
119,651,55
120,652,52
120,653,56
120,654,57
120,655,58
120,656,54
120,657,54
120,658,54
120,659,54
120,660,55
120,661,55
120,662,55
121,663,52
121,663,54
121,663,56
121,664,57
121,665,58
121,666,58
121,667,55
121,668,55
123,669,52
123,670,57
123,671,54
123,672,54
123,673,55
123,674,55
123,675,55
124,676,52
124,676,56
124,3089,58
124,3090,57
124,3091,54
124,3092,55
124,3093,55
124,3094,55
126,669,52
126,670,57
126,678,55
126,679,55
127,669,52
127,670,57
127,671,54
127,678,55
127,10945,55
128,669,52
128,670,57
128,671,54
128,674,55
128,680,57
128,681,57
128,682,55
129,669,52
129,671,54
129,673,55
129,681,57
130,669,52
130,671,54
130,673,55
130,681,57
131,669,52
132,669,52
132,671,54
132,674,55
132,683,57
132,25613,56
133,669,52
134,685,52
134,685,54
134,686,52
134,687,52
134,688,57
135,685,52
135,685,54
135,686,52
135,686,56
135,687,52
135,687,56
135,689,56
135,690,57
135,691,54
136,685,52
136,685,54
136,686,52
136,687,52
136,688,57
136,689,56
136,691,54
137,685,52
137,686,52
137,689,56
137,690,57
137,691,54
137,5373,56
137,7613,56
138,685,52
138,688,57
138,691,54
139,685,52
140,469,55
140,685,52
140,685,54
140,688,57
140,691,54
141,685,52
141,688,57
141,689,56
141,691,54
141,5373,56
141,7613,56
141,25518,57
142,685,52
142,685,54
142,688,57
143,685,52
143,685,54
143,688,57
143,689,56
143,691,54
143,7613,56
144,692,52
144,692,56
144,693,57
144,694,58
144,695,54
144,696,55
144,697,55
145,363,57
145,3484,52
145,3487,56
145,3489,58
145,6840,55
145,6841,55
145,6842,55
147,703,52
147,703,54
147,703,55
147,703,56
147,704,55
147,705,55
148,706,52
148,706,54
149,707,52
149,708,56
149,709,57
149,710,58
149,711,54
149,712,55
149,713,55
149,714,55
149,715,55
149,716,55
150,717,52
150,718,56
150,719,57
150,720,58
150,721,54
150,722,54
150,723,55
150,724,55
150,725,55
150,726,55
150,727,55
151,728,52
151,728,56
151,729,56
151,730,56
151,731,57
151,732,58
151,733,54
151,734,54
151,735,54
151,736,55
151,737,55
151,738,55
151,739,55
151,740,55
152,741,52
152,742,56
152,743,58
152,744,55
152,745,55
152,746,55
152,747,55
152,748,55
153,703,52
153,703,54
153,703,56
153,704,55
155,749,52
156,750,52
156,751,55
157,703,52
157,704,55
157,705,55
157,18531,55
158,703,52
158,703,55
159,703,52
159,703,56
160,703,52
