Guid,Name,Description,CreatedOn,CreatedBy,UpdatedOn,UpdatedBy
12621e82-81b8-46ae-b913-7034b073551f,Dovzhenko Film Studios,null,,,,
12646cad-3fa2-4ba0-9c26-b7b267a7f795,Nadasdy Films,null,,,,
1283ac44-bbec-4315-9edd-c9a8cfb85fc9,MGA Entertainment,null,,,,
12abe4c8-8b7c-411b-9d6c-036b90313d4b,Voltage Pictures,null,,,,
12e2d007-fa65-475b-ba00-d2bccedfb46d,SBS Independent,null,,,,
12e73fd5-c4b1-477a-ad97-6cec156aaaa2,AG Studios,null,,,,
13000262-9d58-4100-896b-e94f3823614d,Combustion,null,,,,
13123f27-241d-4475-b001-b4bceb304e3b,K Pictures Co.,null,,,,
1322a242-97e2-439e-88e1-c3b2b5badf79,Scene Nation,null,,,,
132553ec-a63f-40a0-b236-ce624566a005,Le Vision Pictures,null,,,,
13280beb-4596-4c4d-803e-6dbea21b06f5,Jerry Bruckheimer Films,null,,,,
13302376-d0be-4362-b706-9b1e4c4084ee,Borough Films,null,,,,
135eedc2-9ac1-43ac-980c-19c65fa50abe,Apple Corps,null,,,,
1379d048-ca74-4336-bc1f-de11c363bdc2,Dentsu,null,,,,
13960266-ba5f-43ad-afea-301092090004,Peter Pan Film Corp.,null,,,,
13a91411-fb40-44d9-b010-b527604738e2,Mondo TV,null,,,,
13abcdc3-5c45-4c8a-83ee-f0cc845ce0a9,Fine Line Features,null,,,,
13ee11f1-7f3f-4d54-804e-30e478051752,KOAA Films,null,,,,
13f478e7-afd0-41b8-8962-b92931cab243,Sextant Entertainment Group,null,,,,
13f47ba9-0fd2-4bb6-995e-7b7e73ca3545,Thanatos Films,null,,,,
1406d2de-3fc9-4db8-9ceb-2c6afb6fff85,British Screen,null,,,,
141736b8-b41c-43e3-8f81-3e90f4ebf01a,DreamWorks SKG,null,,,,
141d0d72-9c2a-4fe7-8b70-938a6949e097,Gakken Co. Ltd.,null,,,,
147dc97f-7df1-4f8d-9d29-5f0c1b34ae25,Hugh Harman Productions,null,,,,
14975f4b-f8eb-48bc-944e-89120e85b8f6,Leni Riefenstahl-Produktion,null,,,,
149a658c-fbba-49d1-b48e-4a6ebe561750,Gainsborough Pictures,null,,,,
14ac2d0e-0b32-4bc8-a361-6215f11ca342,Pretentious Productions,null,,,,
14b864b5-57f4-4306-b314-882c3f1baabc,CBS Films,null,,,,
14d3c082-60a9-48a9-8c75-a5f8b34db447,Clarge Distributors,null,,,,
14e46a09-b6e9-4ec9-826c-2e715467a26e,Victor Film Company,null,,,,
14fc5ed3-9f1d-4ddb-9c0e-178cb6438252,Oxford Publishing Limited,null,,,,
1504491c-9df9-403f-a7ae-675e537a2516,Les Films du Bélier,null,,,,
15046429-c0bc-4674-9238-5a8e5448cbca,Killer,Films,,,,
1525c28f-022e-4611-a3fe-7d437dd8a82e,Vverh,null,,,,
1528eb13-e3ab-4ca1-8d5e-48b8116ad63d,Südwestrundfunk (SWR),null,,,,
152fbef8-df76-45da-a7d2-67ce898cd8e2,Kalem Company,null,,,,
1563eed8-e410-4515-b5a3-7eac596e1fd1,F.A.I.,null,,,,
15a99325-a399-4c51-8838-8db7395982cd,Pink Snake Films,null,,,,
15c60d6e-41bd-4114-bbe5-3d2bbb7db8a8,EMI,null,,,,
15e14c34-8e34-4d6f-a9e2-c3960bc98725,Sokal-Film GmbH,null,,,,
15e772e6-7f87-4919-8b8c-a2ec0e4d1fc4,Millenium Films,null,,,,
15ea37df-046b-4475-8530-eddff9b127bd,arte France Cinéma,null,,,,
160eabec-6535-425a-85df-360e2ce1b8e2,Mosfilm,null,,,,
161ef8bf-5d22-4f76-9877-859779bb9a53,Corona Productions,null,,,,
1626ba47-c8f9-4766-95dd-162c7f3451f7,Tempesta,null,,,,
16490982-dd7b-4b68-a15b-0d49009fa592,Daiei Studios,null,,,,
16557185-27e3-4fc0-901a-d9b6ef0a4863,Charles Band Productions,null,,,,
166afa4c-cc62-4e87-a4b1-46c9e2f8d8a5,Mat 1 Productions,null,,,,
166b2db2-5363-4fbf-a28b-c7d8f628862e,Southern Methodist University,null,,,,
16a57560-338c-4b5d-b8d7-06f0b56e9e0a,Dream Team Films,null,,,,
16bd90e0-be32-4d89-b32c-9ea9a604e4cc,Cream Animation,null,,,,
16ecd944-121e-4fcd-abc8-38ba97ac3de1,HIT Entertainment Plc,null,,,,
16ed528b-2d18-4c8b-8350-2a1b79119791,CATCOM Home Video,null,,,,
16fa3dfe-9b0d-4904-845b-2976e123c757,Majestic Film Partners,null,,,,
1700b516-bb1e-477e-a177-d126ff700a73,Trete Tvorcheskoe Obedinenie,null,,,,
17089454-040b-4bd1-a652-df83206b0cab,Prima,null,,,,
172ccafd-52a3-4f42-8d83-e5172edfdb50,Ghost Pictures,null,,,,
