OriginId,Title,Code,Author
140,One Thousand and One Nights,null,null
139,My Father’s Dragon,null,Ruth Stiles Gannett
138,Alice’s Travel,null,Kir Bulychyov
137,null,null,V. Kataev
135,Skazka o zolotom petushke,null,Alexander Pushkin
134,Metal Men against Gandahar,null,Jean-Pierre Andrevon
133,null,null,Gottfried August Bürger
132,null,null,Aleksei Tolstoy
130,The Devouring Animal That Was Cut Open,2028,null
129,Prophecy of Future Sovereignty,725,null
128,The Juniper Tree,720,null
127,Crescentia,712,null
126,The Beautiful and the Ugly Twinsisters,711,null
125,Our Lady's Child,710,null
124,Snow White,709,null
123,The Wonder Child,708,null
122,The Three Golden Children,707,null
121,The Maiden without Hands,706,null
120,Born from Fruit (Fish),705A,null
119,Princess on the Pea,704,null
118,The Artificial Child,703*,null
117,Thumbling,700,null
116,The Lazy Boy,675,null
115,The White Serpent's Flesh,673,null
114,The Serpent's Crown,672,null
113,The Three Languages,671,null
112,The Man Who Understands Animal Languages,670,null
111,The Wood Spirit's Foster-Son,667,null
110,The Man Who Flew like a Bird and Swam like a Fish,665,null
109,The Four Skillful Brothers,653,null
108,The Prince Whose Wishes Always Come True,652,null
107,Strong John,650A,null
106,Sister and Brother healing the King,613C,null
105,The Two Travelers (Truth and Falsehood),613,null
104,The Three Snake-Leaves,612,null
103,The Gifts of the Demons,611,null
102,The Healing Fruits,610,null
101,The Faithless Mother,590,null
100,"Spindle, Shuttle, and Needle",585,null
99,Beloved of Women,580,null
98,The King's Tasks,577,null
97,The Prince's Wings,575,null
96,All Stick Together,571,null
95,The Rabbit-Herd,570,null
94,The Magic Bird-Heart,567,null
93,The Three Magic Objects and the Wonderful Fruits,566,null
92,The Magic Mill,565,null
91,The Magic Providing Purse,564,null
90,The Spirit in the Blue Light,562,null
89,Aladdin,561,null
88,The Magic Ring,560,null
87,Dungbeetle,559,null
86,The Fisherman and his Wife,555,null
85,The Grateful Animals,554,null
84,The Girls Who Married Animals,552,null
83,Water of Life,551,null
82,"Bird, Horse and Princess",550,null
81,Puss in Boots,545B,null
80,The Flight on the Grateful Eagle,537,null
79,The Speaking Horsehead,533,null
78,The Clever Horse,531,null
77,The Princess on the Glass Mountain,530,null
76,The Strong Woman as Bride (Brunhilde),519,null
75,Men Fight over Magic Objects,518,null
74,The Boy Who Understands the Language of Birds,517,null
73,Faithful John,516,null
72,The Shepherd Boy,515,null
71,A Young Woman Disguised as a Man is Wooed by the Queen,514**,null
70,The Shift of Sex,514,null
69,Six Go through the Whole World,513A,null
68,The Extraordinary Companions,513,null
67,"One-Eye, Two-Eyes, Three-Eyes",511,null
66,Peau d'Asne,510B,null
65,Cinderella,510A,null
64,The Monster's Bride,507,null
63,The Grateful Dead,505,null
62,The Gifts of the Little People,503,null
61,The Wild Man,502,null
60,The Three Old Spinning Women,501,null
59,The Name of the Supernatural Helper,500,null
58,The Kind and the Unkind Girls,480,null
57,In the Frog's House,476,null
56,Coal Turns into Gold,476,null
55,The Bridge to the Otherworld,471,null
54,Three Hairs from the Devil's Beard,461,null
53,The Maiden Who Seeks Her Brothers,451,null
52,Little Brother and Little Sister,450,null
51,The Old Woman in the Forest,442,null
50,Hans My Hedgehog,441,null
49,The Frog King Or Iron Henry,440,null
48,King Lindorm,433B,null
47,The Prince as Bird,432,null
46,The House in the Forest,431,null
45,The Donkey,430,null
44,"The Two Girls, the Bear, and the Dwarf",426,null
43,The Vanished Husband,425D,null
42,Beauty and the Beast,425C,null
41,Search for the Lost Husband,425,null
40,Sleeping Beauty,410,null
39,The Girl as Goat,409A,null
38,The Three Oranges,408,null
37,The Girl as Flower,407,null
36,Jorinde and Joringel,405,null
35,The Black and the White Bride,403,null
34,The Animal Bride,402,null
33,The Man on a Quest for His Lost Wife,400,null
32,The Dead Bridegroom Carries off His Bride,365,null
31,Bear-Skin,361,null
30,Bargain of the Three Brothers with the Devil,360,null
29,Household of the Witch,334,null
28,Little Red Riding Hood,333,null
27,Godfather Death,332,null
26,The Spirit in the Bottle,331,null
25,Hiding from the Princess,329,null
24,Jack and the Beanstalk,328A,null
23,The Boy Steals the Ogre's Treasure,328,null
22,The Brothers and the Ogre,327B,null
21,Hansel and Gretel,327A,null
20,The Children and the Ogre,327,null
19,The Youth Who Wanted to Learn What Fear Is,326,null
18,The Magician and his Pupil,325,null
17,The Faithless Wife,318,null
16,The Tree That Grows up to the Sky,317,null
15,The Nix of the Mill-Pond,316,null
14,The Faithless Sister,315,null
13,Goldener,314,null
12,The Magic Flight,313,null
11,Maiden-Killer (Bluebeard),312,null
10,Rescue by the Sister,311,null
9,The Maiden in the Tower,310,null
8,The Princess in the Coffin,307,null
7,The Danced-out Shoes,306,null
6,The Dangerous Night-Watch,304,null
5,Brothers Seek Sisters as Wives,303A,null
4,The Twins Or Blood-Brothers,303,null
3,The Ogre's (Devil's) Heart in the Egg,302,null
2,The Three Stolen Princesses,301,null
1,The Dragon-Slayer,300,null
