CompanyId,Name,Description123123
923,Ontario Film Development Corporation,null
924,Maksim Gorki Studio,null
925,Cine-Allianz Tonfilmproduktions GmbH,null
926,Kawamoto Productions Ltd.,null
927,Kyo Ltd.,null
928,Jean Image Films,null
929,Futurikon,null
930,Luxanimation,null
931,Trixter Productions,null
932,Falco Film,null
933,Chamartín Producciones y Distribuciones,null
934,Copperheart Entertainment,null
935,Water Pictures,null
936,Motion International,null
937,Barry Mendel Productions,null
938,Bayerischer Banken-Fonds,null
939,Constantin Film Produktion,null
940,Fanes Film,null
941,Helgeland Film,null
942,Tradewind Pictures,null
943,Jaleo Films,null
944,Filmkameratene A/S,null
945,Film Fund FUZZ,null
946,SF Norge A/S,null
947,Courage Mon Amour,null
948,Rembrandt Films,null
949,Sterling Entertainment,null
950,Tom Cat Films,null
951,Screen Australia,null
952,Magic Films,null
953,Screen NSW,null
954,Points North Films,null
955,Norsk Film,null
956,Caprino Film,null
957,Jones Entertainment Group,null
958,Skerry Productions,null
959,B.O.M. Film Productions Co.,null
960,Masulpiri Films,null
961,Vega Film Productions,null
962,South Pacific Pictures,null
963,ApolloMedia Distribution,null
964,Pandora Filmproduktion,null
965,Mandalay Pictures,null
966,Python Films,null
967,Umbrella Films,null
968,Projektions-AG Union (PAGU),null
969,Atlantique Productions,null
970,Cinematográfica Calderón S.A.,null
971,Put Down The Plow Productions Inc.,null
972,Wolper Pictures Ltd.,null
973,Legendary Pictures,null
974,Cinereach,null
975,Court 13 Pictures,null
976,Journeyman Pictures,null
977,Jinks/Cohen Company,null
978,Cinet,null
979,Pomor Film,null
980,Love Streams Productions,null
981,Wladyslaw Starewicz Production,null
982,Kennedy Miller Productions,null
983,Louisa Productions,null
984,Seda Spettacoli,null
985,Fox Animation Studios,null
986,Bryan Foy Productions,null
987,City Light Films,null
988,Hugh Harman Productions,null
989,Jesse L. Lasky Feature Play Company,null
990,Echo Pictures,null
991,Royal Films International,null
992,F.A.I.,null
993,Elton Corporation,null
994,Pickford Corporation,null
995,Nikola Film,null
996,Prior,null
997,Crayons S.r.l.,null
998,Pyramid Films,null
999,British & Colonial Kinematograph Company,null
1000,Voxograph,null
1001,Delos-Film,null
1002,USA Films,null
1003,Sean Productions Inc.,null
1004,Children's Theater,null
1005,Producciones Filmamento,null
1006,Kihwik Cine,null
1007,Blackspot Films,null
1008,Mithra Productions,null
1009,Boundscript Motion Pictures,null
1010,Eros International,null
1011,Eagle Films,null
1012,Uzbekfilm,null
1013,Brand Value Communications,null
1014,Muqarnas Film,null
1015,Shin Ei Animation,null
1016,Shogakukan,null
1017,TV Asahi,null
1018,Compagnia Generale R.T.s.r.l.,null
1019,Italian International Film,null
1020,Linton Films,null
